;livestock subsistent;livestock market;crop subsistent;crop market
Home fields;1;1.5;2;2.25
Out-fields;5;3.75;3.5;3.5
Inhabitants_av;9.1;19.1;10.1;15.0
Inhabitants_sd;0.0;0.0;0.0;0.0
CropResiduesInField;0.40;0.01;0.25;0.1
Mineral_millet_kgDM;5;275;75;200
Mineral_groundnut_kgDM;0;275;50;200
Home field rotation;millet;millet|groundnut;millet;millet|groundnut
Bush field rotation;millet|fallow|groundnut;millet|groundnut;millet|fallow|groundnut;millet|groundnut
cereal_areaTargeted_ratioTFA;0.55;0.80;0.65;0.70
